Model,Covariance Type,Window Index,Mean Return,Forecasted Std
MVP,DCC,40,0.005052970259850886,0.0067073568197624
HRP,DCC,40,0.004020935569216965,0.010032973374107433
ERC,DCC,40,0.0038313000442478803,0.010908391151989534
Naive,N/A,41,-0.001646395234103729,0.015224107851574593
MVP,Historical,41,0.0005247741323635513,0.008344377436763495
HRP,Historical,41,-0.001141203296388164,0.01236533321814394
ERC,Historical,41,-0.0013342095514608833,0.01354355213320793
MVP,GARCH,41,-0.0006192579835606719,0.007922725035067604
HRP,GARCH,41,-0.001240180499579391,0.01178105634179483
ERC,GARCH,41,-0.001407784935177832,0.012716312464270284
MVP,DCC,41,-0.0005082031107259148,0.007439582207791389
HRP,DCC,41,-0.0013338282467110405,0.01097576272417839
ERC,DCC,41,-0.001409397384148722,0.011864203563785905
Naive,N/A,42,0.005390927161201121,0.015245125545510704
MVP,Historical,42,0.0014543051667037774,0.008343570207785818
HRP,Historical,42,0.004307084527795095,0.012231450867369074
ERC,Historical,42,0.004719645458986564,0.013555118980263677
MVP,GARCH,42,0.0017668679971625148,0.007955118022433745
HRP,GARCH,42,0.004172321243112807,0.011835669787582348
ERC,GARCH,42,0.004641202015535899,0.013303053938619313
MVP,DCC,42,0.0016372890549490031,0.007542823132060275
HRP,DCC,42,0.004076339816799277,0.011066207979350557
ERC,DCC,42,0.004638969136731419,0.012390055408247468
Naive,N/A,43,0.0022369574394847415,0.015234931335288155
MVP,Historical,43,0.002788184054968671,0.008320213022869368
HRP,Historical,43,0.0020062231011861624,0.012228364174988729
ERC,Historical,43,0.0022016153150900787,0.013540862375994316
MVP,GARCH,43,0.0021817226008211746,0.007670764780246831
HRP,GARCH,43,0.001965310072298324,0.011255922245133918
ERC,GARCH,43,0.0021217548479165456,0.012398132827301447
MVP,DCC,43,0.002227130604876385,0.007254920653363218
HRP,DCC,43,0.0019347790977201212,0.01052323209968422
ERC,DCC,43,0.0021370389811884672,0.011541611781198242
Naive,N/A,44,0.002986778976600906,0.015191956688029033
MVP,Historical,44,0.0019523710533653129,0.008294917969425235
HRP,Historical,44,0.002794444911755914,0.012280353028495788
ERC,Historical,44,0.0028781556299884757,0.013500684233513565
MVP,GARCH,44,0.002173445144819544,0.006712595884282254
HRP,GARCH,44,0.0027776034901964954,0.009794769671857993
ERC,GARCH,44,0.002843430065591088,0.010768537354958202
MVP,DCC,44,0.0022472018855447646,0.006241811666897344
