Model,Covariance Type,#Rolling Windows,Sharpe Ratio,Mean Return,Std Dev,Δ Return vs ERC OOS,Δ Std vs ERC OOS,Δ Return vs MVP OOS,Δ Std vs MVP OOS
ERC,Historical,6,-0.5672064963245373,-0.00531808408158921,0.009375922377564542,0.00028400723200236976,0.0007884733885637658,-0.0018837824733519029,0.009374973762421466
Naive,N/A,6,-0.5783418814490288,-0.005779205460719719,0.009992714769748282,-0.00017711414712813945,0.0014052657807475059,-0.002344903852482412,0.009991766154605206
Real ERC,OOS,6,-0.6523580309783513,-0.00560209131359158,0.008587448989000776,0.0,0.0,-0.0021677897053542726,0.0085865003738577
Real MVP,OOS,6,-3620.33184195547,-0.003434301608237307,9.486151430754809e-07,0.0021677897053542726,-0.0085865003738577,0.0,0.0
HRP,GARCH,7,-0.2588109536565002,-0.003399969606212104,0.013136884502673024,0.0003597617080820653,0.0003913379587095634,-0.008898172810976435,0.01313578265132567
HRP,Historical,7,-0.2691469268316704,-0.0035635114755463194,0.013240022903085225,0.0001962198387478499,0.0004944763591217642,-0.00906171468031065,0.013238921051737872
MVP,GARCH,7,-0.1801237263492601,-0.001888249966814823,0.010483071858914934,0.0018714813474793464,-0.002262474685048527,-0.007386453171579155,0.01048197000756758
MVP,Historical,7,0.022011251365376575,0.00021721313688619445,0.009868277513193458,0.0039769444511803635,-0.002877269030770003,-0.005280990067878137,0.009867175661846105
ERC,GARCH,7,-0.29813552195632353,-0.004067687757858823,0.013643754126201486,-0.0003079564435646536,0.000898207582238025,-0.009565890962623155,0.013642652274854132
ERC,Historical,7,-0.30207051074047064,-0.004144771934101539,0.013721206760439437,-0.00038504061980737005,0.0009756602164759758,-0.009642975138865872,0.013720104909092083
Naive,N/A,7,-0.342299348395388,-0.004880590085805585,0.014258251173087374,-0.0011208587715114153,0.0015127046291239128,-0.010378793290569916,0.01425714932174002
Real ERC,OOS,7,-0.29498392252742206,-0.0037597313142941693,0.012745546543963461,0.0,0.0,-0.0092579345190585,0.012744444692616107
Real MVP,OOS,7,4989.96821846546,0.0054982032047643315,1.1018513473529027e-06,0.0092579345190585,-0.012744444692616107,0.0,0.0
HRP,GARCH,8,-0.03376111178953618,-0.00042972851515369405,0.01272850603477113,0.0014419556586393364,0.0016949811120163874,-0.00042955077064593406,0.012728344561556297
HRP,Historical,8,0.0013709448145050286,1.7668431152275538e-05,0.012887777075589012,0.001889352604945306,0.0018542521528342702,1.784617566003554e-05,0.01288761560237418
MVP,GARCH,8,1.1843225699570996,0.00535665410845311,0.004522968863666211,0.0072283382822461405,-0.006510556059088531,0.00535683185296087,0.00452280739045138
MVP,Historical,8,1.36836220209414,0.0065149876862268825,0.0047611572990370185,0.008386671860019913,-0.006272367623717723,0.006515165430734642,0.004760995825822187
ERC,GARCH,8,-0.11027942109370098,-0.001618366543012427,0.01467514543477111,0.0002533176307806036,0.0036416205120163685,-0.001618188798504667,0.014674983961556278
ERC,Historical,8,-0.08373630003088132,-0.0012436272451261166,0.014851710007099384,0.0006280569286669139,0.0038181850843446424,-0.0012434495006183567,0.014851548533884552
Naive,N/A,8,-0.12185532549816139,-0.002036328180319025,0.01671103147929099,-0.0001646440065259944,0.005677506556536248,-0.0020361504358112647,0.01671087000607616
Real ERC,OOS,8,-0.1696361033211612,-0.0018716841737930305,0.011033524922754742,0.0,0.0,-0.0018715064292852705,0.01103336344953991
Real MVP,OOS,8,-1.10076775238126,-1.7774450776000266e-07,1.614732148316418e-07,0.0018715064292852705,-0.01103336344953991,0.0,0.0
HRP,GARCH,9,-0.7311608548106241,-0.004338419237793925,0.005933604362500515,2.593616440548993e-05,-0.0002957092106641284,0.0026155191500799053,0.005933109494330004
HRP,Historical,9,-0.7575860129454799,-0.0049602403618511206,0.006547428644525525,-0.0005958849596517058,0.0003181150713608815,0.0019936980260227095,0.006546933776355014
MVP,GARCH,9,0.7106829013274746,0.0038727590758008273,0.0054493488848077745,0.008237114478000242,-0.0007799646883568691,0.010826697463674657,0.005448854016637263
MVP,Historical,9,0.6887991259176167,0.005096970770877918,0.007399792739411137,0.009461326173077333,0.0011704791662464934,0.012050909158751748,0.007399297871240626
ERC,GARCH,9,-0.7861887581035877,-0.0062889543927603046,0.007999293207817245,-0.0019245989905608898,0.0017699796346526018,0.0006649839951135255,0.007998798339646734
ERC,Historical,9,-0.7953534873728229,-0.006548828365814772,0.008233858868773654,-0.0021844729636153574,0.0020045452956090103,0.0004051100220590579,0.008233364000603142
Naive,N/A,9,-0.8338743519340688,-0.008055098473092064,0.009659846779564878,-0.003690743070892649,0.003430533206400234,-0.0011011600852182338,0.009659351911394366
Real ERC,OOS,9,-0.7006157822911161,-0.004364355402199415,0.0062293135731646436,0.0,0.0,0.0025895829856744153,0.006228818704994132
Real MVP,OOS,9,-14052.102766458902,-0.00695393838787383,4.948681705112669e-07,-0.0025895829856744153,-0.006228818704994132,0.0,0.0
HRP,GARCH,10,0.7033483328003852,0.004909985529456645,0.006980873203903833,0.003262732152448711,-0.004303915241743462,0.0024819253802880717,0.006980647310789231
HRP,Historical,10,0.8679319432267609,0.007375712316803745,0.008498030720453301,0.005728458939795811,-0.002786757725193994,0.004947652167635172,0.008497804827338699
MVP,GARCH,10,-0.37301553240369606,-0.004721086389791567,0.012656541027578905,-0.006368339766799501,0.0013717525819316092,-0.007149146538960141,0.012656315134464302
MVP,Historical,10,-0.6949633170117995,-0.006455090033028012,0.009288389581170389,-0.008102343410035946,-0.0019963988644769066,-0.008883150182196585,0.009288163688055786
ERC,GARCH,10,1.0020018794742616,0.007744111262520839,0.007728639457826249,0.006096857885512905,-0.0035561489878210466,0.0053160511133522655,0.007728413564711646
ERC,Historical,10,1.008815077088757,0.009254596968099198,0.009173729832434856,0.007607343591091265,-0.00211105861321244,0.006826536818930626,0.009173503939320253
Naive,N/A,10,1.0572473292939633,0.01150295367519728,0.010880097169769185,0.009855700298189347,-0.0004046912758781107,0.009074893526028707,0.010879871276654582
