Model,Covariance Type,#Rolling Windows,Sharpe Ratio,Mean Return,Std Dev,Δ Return vs ERC OOS,Δ Std vs ERC OOS,Δ Return vs MVP OOS,Δ Std vs MVP OOS
Naive,N/A,5,-0.07334269828656932,-0.001021628378004169,0.013929517209912251,-0.002259451465003441,0.006048481273508743,-0.0016219175064274573,0.013929022942096643
Real ERC,OOS,5,0.15706349989873913,0.0012378230869992718,0.007881035936403508,0.0,0.0,0.0006375339585759836,0.0078805416685879
Real MVP,OOS,5,1214.5017528276219,0.0006002891284232882,4.942678156088995e-07,-0.0006375339585759836,-0.0078805416685879,0.0,0.0
HRP,GARCH,6,-0.5218824817325689,-0.004657621630408307,0.008924656016323302,0.0009444696831832728,0.0003372070273225253,-0.0012233200221709998,0.008923707401180226
HRP,Historical,6,-0.5556952499227761,-0.004934003935245811,0.00887897446654705,0.0006680873783457691,0.00029152547754627417,-0.0014997023270085035,0.008878025851403975
MVP,GARCH,6,-0.21454106450056018,-0.001883085381088102,0.008777272479149022,0.0037190059325034777,0.00018982349014824533,0.001551216227149205,0.008776323864005946
MVP,Historical,6,-0.4699816157647583,-0.0033688701703019795,0.007168089255619337,0.0022332211432896003,-0.0014193597333814392,6.543143793532767e-05,0.007167140640476262
ERC,GARCH,6,-0.5527186460938341,-0.0051639477659774745,0.0093428144725568,0.0004381435476141053,0.0007553654835560242,-0.0017296461577401673,0.009341865857413725
ERC,Historical,6,-0.5672064963245373,-0.00531808408158921,0.009375922377564542,0.00028400723200236976,0.0007884733885637658,-0.0018837824733519029,0.009374973762421466
Naive,N/A,6,-0.5783418814490288,-0.005779205460719719,0.009992714769748282,-0.00017711414712813945,0.0014052657807475059,-0.002344903852482412,0.009991766154605206
Real ERC,OOS,6,-0.6523580309783513,-0.00560209131359158,0.008587448989000776,0.0,0.0,-0.0021677897053542726,0.0085865003738577
Real MVP,OOS,6,-3620.33184195547,-0.003434301608237307,9.486151430754809e-07,0.0021677897053542726,-0.0085865003738577,0.0,0.0
HRP,GARCH,7,-0.2572947497806406,-0.003370645379604292,0.013100327085873192,0.00038908593468987753,0.00035478054190973135,-0.008868848584368623,0.013099225234525839
HRP,Historical,7,-0.2691469268316704,-0.0035635114755463194,0.013240022903085225,0.0001962198387478499,0.0004944763591217642,-0.00906171468031065,0.013238921051737872
MVP,GARCH,7,-0.1719301706023425,-0.001796841074005935,0.010450993375455032,0.0019628902402882343,-0.002294553168508429,-0.007295044278770266,0.010449891524107678
MVP,Historical,7,0.022011251365376575,0.00021721313688619445,0.009868277513193458,0.0039769444511803635,-0.002877269030770003,-0.005280990067878137,0.009867175661846105
ERC,GARCH,7,-0.29715867879033137,-0.004051488046018863,0.01363408957972082,-0.00029175673172469364,0.0008885430357573592,-0.009549691250783195,0.013632987728373467
ERC,Historical,7,-0.30207051074047064,-0.004144771934101539,0.013721206760439437,-0.00038504061980737005,0.0009756602164759758,-0.009642975138865872,0.013720104909092083
Naive,N/A,7,-0.342299348395388,-0.004880590085805585,0.014258251173087374,-0.0011208587715114153,0.0015127046291239128,-0.010378793290569916,0.01425714932174002
Real ERC,OOS,7,-0.29498392252742206,-0.0037597313142941693,0.012745546543963461,0.0,0.0,-0.0092579345190585,0.012744444692616107
Real MVP,OOS,7,4989.96821846546,0.0054982032047643315,1.1018513473529027e-06,0.0092579345190585,-0.012744444692616107,0.0,0.0
HRP,GARCH,8,-0.03129970067082688,-0.00039147275900754954,0.0125072365108087,0.001480211414785481,0.0014737115880539588,-0.00039129501449978955,0.012507075037593868
HRP,Historical,8,0.0013709448145050286,1.7668431152275538e-05,0.012887777075589012,0.001889352604945306,0.0018542521528342702,1.784617566003554e-05,0.01288761560237418
MVP,GARCH,8,1.260051979914271,0.005331313841979931,0.004231026915526653,0.0072029980157729614,-0.0068024980072280885,0.005331491586487691,0.004230865442311822
MVP,Historical,8,1.36836220209414,0.0065149876862268825,0.0047611572990370185,0.008386671860019913,-0.006272367623717723,0.006515165430734642,0.004760995825822187
ERC,GARCH,8,-0.10938405543245942,-0.0015958380863354675,0.014589311760532027,0.00027584608745756306,0.003555786837777285,-0.0015956603418277075,0.014589150287317195
ERC,Historical,8,-0.08373630003088132,-0.0012436272451261166,0.014851710007099384,0.0006280569286669139,0.0038181850843446424,-0.0012434495006183567,0.014851548533884552
Naive,N/A,8,-0.12185532549816139,-0.002036328180319025,0.01671103147929099,-0.0001646440065259944,0.005677506556536248,-0.0020361504358112647,0.01671087000607616
Real ERC,OOS,8,-0.1696361033211612,-0.0018716841737930305,0.011033524922754742,0.0,0.0,-0.0018715064292852705,0.01103336344953991
Real MVP,OOS,8,-1.10076775238126,-1.7774450776000266e-07,1.614732148316418e-07,0.0018715064292852705,-0.01103336344953991,0.0,0.0
HRP,GARCH,9,-0.711105859107537,-0.004123127685142817,0.005798191130526598,0.00024122771705659737,-0.00043112244263804594,0.0028308107027310127,0.005797696262356086
HRP,Historical,9,-0.7575860129454799,-0.0049602403618511206,0.006547428644525525,-0.0005958849596517058,0.0003181150713608815,0.0019936980260227095,0.006546933776355014
